13:59:41 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:00:01 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:00:01 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:00:21 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:00:21 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:00:41 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:00:41 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:01:01 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:01:01 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:01:21 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:01:21 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:01:42 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:01:42 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:02:02 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:02:02 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:02:22 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:02:22 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:02:42 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:02:42 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:03:02 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:03:02 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:03:23 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:03:23 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:03:43 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:03:43 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:04:03 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:04:03 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:04:23 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:04:23 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:04:43 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:04:43 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:05:03 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:05:04 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:05:24 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:05:24 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:05:44 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
